Year_Factor,State_Factor,building_class,facility_type,floor_area,year_built,energy_star_rating,ELEVATION,january_min_temp,january_avg_temp,january_max_temp,february_min_temp,february_avg_temp,february_max_temp,march_min_temp,march_avg_temp,march_max_temp,april_min_temp,april_avg_temp,april_max_temp,may_min_temp,may_avg_temp,may_max_temp,june_min_temp,june_avg_temp,june_max_temp,july_min_temp,july_avg_temp,july_max_temp,august_min_temp,august_avg_temp,august_max_temp,september_min_temp,september_avg_temp,september_max_temp,october_min_temp,october_avg_temp,october_max_temp,november_min_temp,november_avg_temp,november_max_temp,december_min_temp,december_avg_temp,december_max_temp,cooling_degree_days,heating_degree_days,precipitation_inches,snowfall_inches,snowdepth_inches,avg_temp,days_below_30F,days_below_20F,days_below_10F,days_below_0F,days_above_80F,days_above_90F,days_above_100F,days_above_110F,direction_max_wind_speed,direction_peak_wind_speed,max_wind_speed,days_with_fog,site_eui,id
1,State_1,Commercial,Grocery_store_or_food_market,61242,1942,11,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,248.6826155,0
1,State_1,Commercial,Warehouse_Distribution_or_Shipping_center,274000,1955,45,1.8,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,,1,12,26.50014971,1
1,State_1,Commercial,Retail_Enclosed_mall,280025,1951,97,1.8,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,,1,12,24.69361928,2
1,State_1,Commercial,Education_Other_classroom,55325,1980,46,1.8,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,,1,12,48.40692567,3
1,State_1,Commercial,Warehouse_Nonrefrigerated,66000,1985,100,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,3.899395164,4
1,State_1,Commercial,Warehouse_Selfstorage,119900,1956,,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,6.597715398,5
1,State_1,Commercial,Warehouse_Nonrefrigerated,91367,1982,56,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,12.81784116,6
1,State_1,Commercial,Warehouse_Nonrefrigerated,50422,1947,99,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,22.39201437,7
1,State_1,Commercial,Office_Uncategorized,122020,1929,98,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,28.19957781,8
1,State_1,Commercial,Office_Uncategorized,102612,1979,83,2.4,36,50.5,68,35,50.58928571,73,40,53.69354839,80,41,55.5,78,46,56.85483871,84,50,60.5,90,52,62.72580645,84,52,62.16129032,85,52,64.65,90,47,63.01612903,83,43,53.8,72,36,49.27419355,71,115,2960,16.59,0,0,56.97260274,0,0,0,0,14,0,0,0,1,1,1,,29.51595179,9
